PlotID,PINumber,Row,Column,Block,Treatment,DaysToFlower,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBrancSufficientNitrogeno,BranchInternodeLength,ProteinPCT,OilPCT,FiberPCT,AshPCT,StarchPCT,KernelColor
5001,PI 656057,15,31,5,SufficientNitrogen,83.0,63.05,5.9,N,18.0,29.8,536.4,45.7,9.1,15.0,128.0,70.0,9.8,2.67,25.6,10.06,15.7,9.63,4.33,39.0,2.55,10.74,13.87,4.96,1.53,71.77,White
5002,PI 656011,16,31,5,SufficientNitrogen,76.0,36.4,5.89,N,16.0,71.4,1142.4,54.7,7.1,14.0,110.0,75.0,7.4,1.67,24.91,10.52,25.27,7.74,2.17,57.0,2.17,10.16,11.21,5.02,1.43,73.44,Yellow
5003,PI 576347,17,31,5,SufficientNitrogen,53.0,35.45,1.65,Y,16.0,,,54.0,4.5,7.0,85.0,59.0,5.0,2.5,15.41,6.81,25.4,5.26,1.12,33.0,2.35,,,,,,
5009,PI 564163,23,31,5,SufficientNitrogen,68.0,47.25,6.51,N,8.0,83.9,671.2,38.1,5.6,12.0,82.0,67.0,7.5,,,,,,,,,9.62,11.39,4.44,1.48,73.59,White
5010,PI 656009,24,31,5,SufficientNitrogen,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
5011,PI 533789,25,31,5,SufficientNitrogen,73.0,46.4,5.23,N,6.0,30.7,184.2,51.5,6.4,15.0,82.0,,,,,,,,,,,9.76,13.56,3.08,1.8,63.54,Yellow
5014,PI 534117,15,30,5,SufficientNitrogen,55.0,44.6,3.95,N,14.0,45.9,642.6,37.5,5.2,12.0,77.0,61.0,6.7,0.0,22.6,12.32,17.1,8.32,2.48,50.0,2.8,11.53,13.29,4.21,1.84,67.94,Brown
5015,PI 564163,16,30,5,SufficientNitrogen,62.0,49.0,7.39,N,10.0,85.5,855.0,38.2,6.1,12.0,100.0,63.5,7.0,0.0,24.03,11.62,27.87,8.15,3.09,71.33,1.6,10.01,12.91,4.18,1.6,72.87,White
5016,PI 564163,17,30,5,SufficientNitrogen,62.0,52.4,5.58,Y,8.0,82.8,662.4,31.6,4.1,11.0,101.0,72.5,7.0,0.0,25.64,12.14,27.4,7.93,3.24,58.67,2.3,9.73,11.92,4.22,1.57,72.69,White
5017,PI 533807,18,30,5,SufficientNitrogen,71.0,60.4,5.92,N,12.0,62.9,754.8,38.4,6.2,12.0,82.0,84.0,5.3,1.33,34.67,13.19,16.3,9.59,4.97,65.67,2.17,10.14,11.42,4.24,1.57,66.62,White
