"yield","geno","rep","row","col","rowcode","colcode"
483,"4","1",1,1,"2","1"
526,"10","1",2,1,"2","1"
557,"17","1",3,1,"1","1"
564,"16","1",4,1,"2","1"
498,"21","1",5,1,"2","1"
510,"32","1",6,1,"1","1"
344,"33","1",7,1,"2","1"
600,"34","1",8,1,"2","1"
466,"72","1",9,1,"1","1"
370,"74","1",10,1,"2","1"
448,"75","1",11,1,"2","1"
513,"81","1",12,1,"1","1"
481,"83","1",13,1,"2","1"
430,"106","1",14,1,"2","1"
355,"107","1",15,1,"1","1"
445,"3","1",16,1,"2","1"
447,"5","1",17,1,"2","1"
400,"6","1",18,1,"1","1"
460,"8","1",19,1,"2","1"
371,"9","1",20,1,"2","1"
420,"11","1",21,1,"1","1"
453,"13","1",22,1,"2","1"
400,"14","1",1,2,"2","2"
405,"30","1",2,2,"2","2"
442,"15","1",3,2,"1","2"
444,"18","1",4,2,"2","2"
557,"19","1",5,2,"2","2"
446,"20","1",6,2,"1","2"
470,"23","1",7,2,"2","2"
515,"24","1",8,2,"2","2"
364,"25","1",9,2,"1","2"
477,"26","1",10,2,"2","2"
377,"27","1",11,2,"2","2"
525,"28","1",12,2,"1","2"
408,"35","1",13,2,"2","2"
605,"36","1",14,2,"2","2"
437,"37","1",15,2,"1","2"
440,"38","1",16,2,"2","2"
446,"39","1",17,2,"2","2"
534,"71","1",18,2,"1","2"
510,"73","1",19,2,"2","2"
603,"76","1",20,2,"2","2"
442,"77","1",21,2,"1","2"
506,"78","1",22,2,"2","2"
569,"79","1",1,3,"2","3"
514,"80","1",2,3,"2","3"
487,"97","1",3,3,"1","3"
557,"102","1",4,3,"2","3"
750,"40","1",5,3,"2","3"
710,"42","1",6,3,"1","3"
773,"43","1",7,3,"2","3"
747,"44","1",8,3,"2","3"
683,"45","1",9,3,"1","3"
701,"46","1",10,3,"2","3"
658,"47","1",11,3,"2","3"
682,"48","1",12,3,"1","3"
667,"49","1",13,3,"2","3"
699,"50","1",14,3,"2","3"
585,"51","1",15,3,"1","3"
645,"52","1",16,3,"2","3"
642,"53","1",17,3,"2","3"
630,"54","1",18,3,"1","3"
729,"55","1",19,3,"2","3"
714,"56","1",20,3,"2","3"
651,"57","1",21,3,"1","3"
820,"58","1",22,3,"2","3"
734,"59","1",1,4,"2","4"
767,"60","1",2,4,"2","4"
693,"61","1",3,4,"1","4"
790,"62","1",4,4,"2","4"
714,"63","1",5,4,"2","4"
747,"64","1",6,4,"1","4"
815,"65","1",7,4,"2","4"
762,"66","1",8,4,"2","4"
684,"67","1",9,4,"1","4"
827,"68","1",10,4,"2","4"
819,"69","1",11,4,"2","4"
689,"70","1",12,4,"1","4"
758,"88","1",13,4,"2","4"
705,"103","1",14,4,"2","4"
565,"104","1",15,4,"1","4"
799,"98","1",16,4,"2","4"
758,"2","1",17,4,"2","4"
774,"1","1",18,4,"1","4"
652,"89","1",19,4,"2","4"
684,"87","1",20,4,"2","4"
656,"84","1",21,4,"1","4"
